issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.","API, access",escalated,product_issue,No additional justification provided
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",interview,escalated,product_issue,Disputed test score dispute with recruiter
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.","financial services, cards, transactions",escalated,product_issue,escalation_reason: null
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",account-management,escalated,product_issue,Escalation reason: No relevant documentation found for this query
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",billing,escalated,product_issue,No relevant documentation found for this query
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Hello, thank you for considering HackerRank for your company's hiring process. However, our knowledge base does not currently contain information on integrating HackerRank with your infosec process.",infosec process of your company,replied,product_issue,account-management/delete-account.md
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",interview,escalated,product_issue,No documents found for 
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Hello, We apologize for the inconvenience you\u2019re experiencing with our platform. Unfortunately, we couldn\u2019t find any relevant documentation to resolve your issue.

To further assist you, please provide more details about the error messages you\u2019re seeing or any other information that might help us troubleshoot the problem. We\u0392ll do our best to get your submissions working again as soon as possible.

Thank you for your patience and cooperation.
Best regards,
classifier_retriever",account-management,escalated,product_issue,no relevant documentation was found
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",interview,escalated,product_issue,escalation_reason: No relevant documentation found for this query
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out. Based on your request, this appears to require further investigation by our specialized team. We are escalating your case to ensure it is handled appropriately.",interview,escalated,feature_request,escalation_reason: No relevant documentation found for this query
